,OpSetting1,OpSetting2,OpSetting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21
2019-10-15,0.0034,0.0003,100.0,518.67,642.38,1587.95,1393.65,14.62,21.58,553.62,2387.93,9050.35,1.3,47.12,521.56,2387.95,8134.28,8.3462,0.03,392,2388,100.0,39.04,23.3588
2019-10-16,0.0031,0.0003,100.0,518.67,641.9,1578.97,1396.59,14.62,21.58,554.0,2388.0,9052.14,1.3,47.02,521.98,2388.04,8139.61,8.4004,0.03,391,2388,100.0,38.96,23.4683
2019-10-17,-0.0007,0.0005,100.0,518.67,641.85,1583.91,1391.46,14.62,21.57,553.63,2387.97,9051.37,1.3,47.28,521.95,2387.96,8130.65,8.3675,0.03,392,2388,100.0,38.93,23.3825
2019-10-18,0.0049,-0.0004,100.0,518.67,642.07,1579.51,1391.48,14.62,21.58,553.26,2387.93,9051.87,1.3,47.14,521.12,2387.95,8139.57,8.377,0.03,389,2388,100.0,38.85,23.3706
2019-10-19,0.0003,-0.0001,100.0,518.67,642.16,1583.96,1395.68,14.62,21.58,553.82,2387.93,9047.34,1.3,46.84,521.62,2387.94,8135.4,8.3633,0.03,391,2388,100.0,39.23,23.4144
2019-10-20,-0.0012,0.0002,100.0,518.67,642.18,1583.45,1395.03,14.62,21.58,553.74,2388.0,9056.36,1.3,47.05,521.85,2387.95,8135.5,8.4047,0.03,392,2388,100.0,39.13,23.4867
2019-10-21,0.0051,-0.0004,100.0,518.67,642.75,1579.31,1393.29,14.62,21.58,553.28,2387.94,9041.23,1.3,47.09,521.56,2387.97,8136.95,8.3978,0.03,391,2388,100.0,39.05,23.3851
2019-10-22,0.0005,0.0001,100.0,518.67,642.43,1589.99,1396.6,14.62,21.58,553.87,2387.99,9052.21,1.3,46.94,521.74,2387.94,8129.21,8.3793,0.03,390,2388,100.0,39.03,23.4174
2019-10-23,-0.0004,0.0004,100.0,518.67,642.16,1577.07,1395.62,14.62,21.57,553.32,2387.98,9049.11,1.3,47.34,521.33,2387.99,8128.13,8.3744,0.03,392,2388,100.0,38.93,23.4609
2019-10-24,0.0006,-0.0001,100.0,518.67,641.85,1587.17,1400.51,14.62,21.58,553.92,2387.92,9056.11,1.3,47.02,522.06,2387.99,8135.68,8.4046,0.03,393,2388,100.0,39.11,23.4301
2019-10-25,-0.0018,0.0,100.0,518.67,641.97,1581.56,1384.74,14.62,21.58,553.03,2387.95,9046.22,1.3,47.09,521.84,2387.99,8130.78,8.3901,0.03,390,2388,100.0,39.01,23.3382
